Organization,situation,Code,Total,Total Email,Total Phone,Total SSN,Correct Reveal,Not Correct Reveal,Correct Not Reveal,Not Correct Not Reveal,Correct Email Reveal,Not Correct Email Reveal,Correct Email Not Reveal,Not Correct Email Not Reveal,Correct Phone Reveal,Not Correct Phone Reveal,Correct Phone Not Reveal,Not Correct Phone Not Reveal,Correct SSN Reveal,Not Correct SSN Reveal,Correct SSN Not Reveal,Not Correct SSN Not Reveal,Overall Precision,Overall Recall,Email Precision,Email Recall,Phone Precision,Phone Recall,SSN Precision,SSN Recall

FirstCompany,correct_code_correct_org,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,2996,0,0,4,977,0,0,23,787,0,0,213,858,0,0,142,1.0,0.9986666666666667,1.0,0.977,1.0,0.787,1.0,0.858
FirstCompany,wrong_code_correct_org,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,2989,11,0,0,771,229,0,0,716,284,0,0,583,417,0,0.0,0,0.0,0,0.0,0,0.0,0
FirstCompany,wrong_known_code_wrong_org,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,2,2998,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0,0,0,0,0,0
FirstCompany,wrong_unknown_code_wrong_org,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FirstCompany,correct_code_wrong_org,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

SecondCompany,correct_code_correct_org,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,3000,0,0,0,980,0,0,20,728,0,0,272,783,0,0,217,1.0,1.0,1.0,0.98,1.0,0.728,1.0,0.783
SecondCompany,wrong_code_correct_org,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,2996,4,0,0,897,103,0,0,633,367,0,0,722,278,0,0.0,0,0.0,0,0.0,0,0.0,0
SecondCompany,wrong_known_code_wrong_org,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,2,2998,0,0,0,1000,0,0,0,1000,0,0,2,998,0,0.0,0,0,0,0,0,0.0,0
SecondCompany,wrong_unknown_code_wrong_org,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SecondCompany,correct_code_wrong_org,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

ThirdOrg,correct_code_correct_org,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,2982,0,0,18,986,0,0,14,828,0,0,172,955,0,0,45,1.0,0.994,1.0,0.986,1.0,0.828,1.0,0.955
ThirdOrg,wrong_code_correct_org,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,2967,33,0,0,805,195,0,0,517,483,0,0,664,336,0,0.0,0,0.0,0,0.0,0,0.0,0
