Organization,Code,Total,Total Email,Total Phone,Total SSN,Correct Reveal,Not Correct Reveal,Correct Not Reveal,Not Correct Not Reveal,Correct Email Reveal,Not Correct Email Reveal,Correct Email Not Reveal,Not Correct Email Not Reveal,Correct Phone Reveal,Not Correct Phone Reveal,Correct Phone Not Reveal,Not Correct Phone Not Reveal,Correct SSN Reveal,Not Correct SSN Reveal,Correct SSN Not Reveal,Not Correct SSN Not Reveal,Overall Precision,Overall Recall,Email Precision,Email Recall,Phone Precision,Phone Recall,SSN Precision,SSN Recall

FirstCompany,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FirstCompany,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,2989,11,0,0,771,229,0,0,716,284,0,0,583,417,0,0.0,0,0.0,0,0.0,0,0.0,0
FirstCompany,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,2,2998,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0,0,0,0,0,0
FirstCompany,FoHL9UFVcTbcy80F5KZd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0

SecondCompany,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,2996,4,0,0,897,103,0,0,633,367,0,0,722,278,0,0.0,0,0.0,0,0.0,0,0.0,0
SecondCompany,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,2,2998,0,0,0,1000,0,0,0,1000,0,0,2,998,0,0.0,0,0,0,0,0,0.0,0
SecondCompany,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SecondCompany,iQ3p7nZkLr8Wb2XyA6Es,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

ThirdOrg,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,2967,33,0,0,805,195,0,0,517,483,0,0,664,336,0,0.0,0,0.0,0,0.0,0,0.0,0
ThirdOrg,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,8,2992,0,0,0,1000,0,0,0,1000,0,0,2,998,0,0.0,0,0,0,0,0,0.0,0
ThirdOrg,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
ThirdOrg,jS5t0QwLm1Vb9RxYk8Hd,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0

FourthInc,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,2998,2,0,0,966,34,0,0,322,678,0,0,697,303,0,0.0,0,0.0,0,0.0,0,0.0,0
FourthInc,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FourthInc,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FourthInc,Zq7Nf4JkVt2Sx8LpW3Gh,3000,1000,1000,1000,2,0,0,2998,0,0,0,1000,0,0,0,1000,1,0,0,999,1.0,0.0006666666666666666,0,0.0,0,0.0,1.0,0.001

FifthLLC,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0.0,0,0.0,0,0.0,0,0.0
FifthLLC,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,2984,16,0,0,985,15,0,0,525,475,0,0,751,249,0,0.0,0,0.0,0,0.0,0,0.0,0
FifthLLC,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
FifthLLC,mR2d6KpXv7Qw1JzT8LsB,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0

SixthGroup,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,2972,28,0,0,979,21,0,0,578,422,0,0,580,420,0,0.0,0,0.0,0,0.0,0,0.0,0
SixthGroup,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SixthGroup,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SixthGroup,Yp9Lk3VwXs7Qf2RtB5Mn,3000,1000,1000,1000,0,0,60,2940,0,0,20,980,0,0,20,980,0,0,20,980,0,0.0,0,0.0,0,0.0,0,0.0

SeventhEnterprises,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,2994,6,0,0,596,404,0,0,695,305,0,0,758,242,0,0.0,0,0.0,0,0.0,0,0.0,0
SeventhEnterprises,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
SeventhEnterprises,Gx1Wv4JkQz8Lp6TsN2Rb,3000,1000,1000,1000,0,0,3000,0,0,0,1000,0,0,0,1000,0,0,0,1000,0,0,0,0,0,0,0,0,0
